id,title,short_title,year,country
170,'Black Cat','blackcat',1991,'Hong Kong'
171,'Amores Perros','amoresperros',2000,'Mexico'
172,'Miyamoto Musashi: Kett&#244; Ganry&#251;-jima (aka, Samurai III: Duel at Ganryu Island)','miyamotomusashi3',1956,'Japan'
173,'Pygmalion','pygmalion',1938,'U.K.'
174,'The Mummy Returns','mummyreturns',2001,'U.S.'
175,'New Dragon Inn','newdragoninn',1992,'Hong Kong'
176,'Y Tu Mam&#225; Tambi&#233;n','ytumamatambien',2001,'Mexico'
177,'Gattaca','gattaca',1997,'U.S.'
178,'Riding in Cars with Boys','ridingincars',2001,'U.S.'
179,'A Chinese Ghost Story II','cgs2',1990,'Hong Kong'
180,'Vampire Hunter D: Bloodlust','bloodlust',2000,'Japan'
181,'Bungee Jumping of their Own','bungeejumping',2001,'South Korea'
182,'Bill &amp; Ted\'s Excellent Adventure','billandteds',1989,'U.S.'
183,'In the Mood for Love','inthemoodforlove',2000,'Hong Kong'
184,'Kikujiro no Natsu','kikujirononatsu',1999,'Japan'
185,'Mallrats','mallrats',1995,'U.S.'
186,'Songcatcher','songcatcher',1999,'U.S.'
187,'The Soong Sisters','soongsisters',1997,'Hong Kong'
188,'The Discreet Charm of the Bourgeoisie','discreetcharm',1972,'France'
189,'Bichunmoo','bichunmoo',2000,'South Korea'
190,'The Scorpion King','scorpionking',2002,'U.S.'
191,'Rififi','rififi',1955,'France'
192,'No Man\'s Land','nomansland',2001,'Bosnia-Herzegovina'
193,'Full Metal Jacket','fullmetaljacket',1987,'U.S.'
194,'Chingu (aka, Friend)','friend',2001,'South Korea'
195,'Marathon Man','marathonman',1976,'U.S.'
196,'Hudson Hawk','hudsonhawk',1991,'U.S.'
197,'Spider-Man','spiderman',2002,'U.S.'
198,'Pitch Black','pitchblack',2000,'Australia'
199,'Dr. No','drno',1962,'U.K.'
200,'Help!!!','help',2000,'Hong Kong'
201,'Sgt. Kabukiman N.Y.P.D.','sgtkabukiman',1990,'U.S.'
202,'Gunmen','gunmen',1988,'Hong Kong'
203,'Donnie Darko','donniedarko',2001,'U.S.'
204,'Ferris Bueller\'s Day Off','ferrisbueller',1986,'U.S.'
205,'Mr. Deeds Goes to Town','mrdeedsgoestotown',1936,'U.S.'
206,'Star Wars: Episode II - Attack of the Clones','episode2',2002,'U.S.'
207,'Training Day','trainingday',2001,'U.S.'
208,'Erotic Ghost Story','eroticghosts',1990,'Hong Kong'
209,'Needing You','needingyou',2000,'Hong Kong'
210,'Tokyo Raiders','tokyoraiders',2000,'Hong Kong'
211,'The Man Who Would Be King','manwhowouldbeking',1975,'U.K.'
212,'Bram Stoker\'s Dracula','dracula',1992,'U.S.'
213,'C\'est La Vie, Mon Cheri','cestlavie',1993,'Hong Kong'
214,'Salt of the Earth','saltoftheearth',1954,'U.S.'
215,'Happy Gilmore','happygilmore',1996,'U.S.'
216,'God of Gamblers','godofgamblers',1989,'Hong Kong'
217,'Branded To Kill','brandedtokill',1967,'Japan'
218,'King of Comedy','kingofcomedy',1999,'Hong Kong'
219,'Go Tell It On the Mountain','gotellitonthemountain',1984,'U.S.'
220,'Harvey','harvey',1950,'U.S.'
221,'UHF','uhf',1989,'U.S.'
222,'Metropolis','metropolis',2001,'Japan'
223,'The Longest Nite','longestnite',1997,'Hong Kong'
224,'Sunshine State','sunshinestate',2002,'U.S.'
225,'Three Kings','threekings',1999,'U.S.'
226,'A Chinese Ghost Story III','cgs3',1991,'Hong Kong'
227,'Double Tap','doubletap',2000,'Hong Kong'
228,'The Iron Giant','irongiant',1999,'U.S.'
229,'Samehada Otoko to Momojiri Onna (aka, Shark Skin Man and Peach Hip Girl)','samehada',1998,'Japan'
230,'The Bourne Identity','bourneidentity',2002,'U.S.'
231,'Mulholland Drive','mulhollanddrive',2001,'U.S.'
232,'Boys Don\'t Cry','boysdontcry',1999,'U.S.'
233,'Akira','akira',1988,'Japan'
234,'Das Boot','dasboot',1981,'West Germany'
235,'The Usual Suspects','usualsuspects',1995,'U.S.'
