short_title|title|year|country
notorious|Notorious|1946|U.S.
cityofgod|Cidade de Deus (aka, City of God)|2002|Brazil
gunnerpalace|Gunner Palace|2004|U.S.
aclassdivided|Frontline: A Class Divided|1985|U.S.
kungfuhustle|Kung Fu Hustle|2004|China / Hong Kong
murielswedding|Muriel's Wedding|1994|Australia
goodbyelenin|Good Bye Lenin!|2003|Germany
henryandjune|Henry &amp; June|1990|U.S.
akaruimirai|Akarui Mirai (aka, Bright Future)|2003|Japan
unleashed|Unleashed|2005|U.K. / France
hitchhikersguide|The Hitchhiker's Guide to the Galaxy|2005|U.K.
liveatthehollywoodbowl|Monty Python Live at the Hollywood Bowl|1982|U.S.
episode3|Star Wars: Episode III - Revenge of the Sith|2005|U.S.
liveataspen|Monty Python's Flying Circus: Live at Aspen|1998|U.S.
killemall|Kill 'em All|1999|U.K.
sirnosir|Sir! No Sir!|2005|U.S.
batmanbegins|Batman Begins|2005|U.S.
magnificentseven|Magnificent Seven|1960|U.S.
crash|Crash|2004|U.S.
lastlife|Last Life in the Universe|2003|Thailand
dolls|Dolls|2002|Japan
marchofthepenguins|La Marche de l'empereur (aka, March of the Penguins)|2005|France / Antarctica
jackiebrown|Jackie Brown|1997|U.S.
comedrinkwithme|Come Drink with Me|1966|Hong Kong
serenity|Serenity|2005|U.S.
